,account,is_momentum,is_reverse,is_institution,age,open_time
132,499055683022,0,0,0,48.0,2678.0
133,499055683115,0,1,0,38.0,2669.0
134,499055683121,0,0,0,34.0,2609.0
135,499055683221,0,0,0,46.0,2603.0
136,499055683321,0,0,0,61.0,2553.0
137,499055692514,0,0,0,49.0,2543.0
138,499055692517,0,0,0,34.0,2540.0
139,499055692519,0,0,1,,
140,499055692520,0,1,0,54.0,2519.0
141,499055692521,0,0,0,42.0,2519.0
142,499055692615,0,0,0,39.0,2699.0
143,499055692616,0,0,0,39.0,2501.0
144,499055692619,0,0,0,34.0,2497.0
145,499055692721,1,0,0,46.0,2484.0
146,499055692817,0,0,0,53.0,2476.0
147,499055693122,0,0,0,31.0,2858.0
148,499055702823,0,1,0,51.0,3134.0
149,499055703022,0,0,0,37.0,2406.0
150,499055703119,0,0,0,62.0,2386.0
151,499055703217,0,0,0,44.0,2362.0
152,499055703219,0,0,0,45.0,2361.0
153,499055703221,0,0,0,33.0,2344.0
154,499055703316,0,0,0,38.0,2323.0
155,499055703416,0,1,0,31.0,2300.0
156,499055703419,0,0,0,34.0,2232.0
157,499055703420,0,0,0,43.0,2263.0
158,499055703421,0,0,0,50.0,2259.0
159,499055703423,0,0,0,48.0,2257.0
160,499055712517,0,0,0,44.0,2256.0
161,499055712521,0,0,0,50.0,2242.0
162,499055712614,0,0,0,33.0,2239.0
163,499055712615,0,0,0,36.0,2231.0
164,499055712620,0,0,0,51.0,2229.0
165,499055712715,0,0,0,47.0,2221.0
166,499055712716,0,0,0,43.0,2221.0
167,499055712814,0,0,0,43.0,2218.0
168,499055712817,0,0,0,33.0,2267.0
169,499055712821,0,0,0,36.0,2215.0
170,499055713219,1,0,0,42.0,2113.0
171,499055713319,0,1,0,40.0,2097.0
172,499055713320,0,0,0,58.0,2092.0
173,499055713322,0,0,0,53.0,2090.0
174,499055732523,0,0,0,46.0,2042.0
175,499055732617,1,0,0,35.0,2055.0
176,499055732716,0,0,0,27.0,2022.0
177,499055732815,0,0,0,56.0,1999.0
178,499055732820,0,0,0,53.0,1985.0
179,499055733020,1,0,0,61.0,1963.0
180,499055733114,0,0,0,32.0,1963.0
181,499055733115,0,0,0,44.0,1957.0
182,499055733119,1,0,0,30.0,1952.0
183,499055733123,0,0,0,32.0,2363.0
184,499055733214,0,1,0,30.0,2097.0
185,499055733215,0,0,0,39.0,1899.0
186,499055733219,0,0,0,39.0,1943.0
187,499055733220,0,0,0,48.0,1935.0
188,499055733221,0,0,0,41.0,1929.0
189,499055733315,0,1,0,34.0,1815.0
